1185,1537,1500
1190,1542,1500
1195,1547,1500
1200,1552,1500
1205,1557,1500
1210,1562,1500
1215,1567,1500
1220,1572,1500
1225,1577,1500
1230,1582,1500
1235,1588,1500
1240,1593,1500
1245,1598,1500
1250,1603,1500
1256,1608,1500
1261,1613,1500
1266,1618,1500
1271,1623,1500
1276,1628,1500
1281,1634,1500
1286,1639,1500
1291,1644,1500
1297,1649,1500
1302,1654,1500
1307,1659,1500
1312,1664,1500
1317,1670,1500
1322,1675,1500
1328,1680,1500
1333,1685,1500
1338,1690,1500
1343,1695,1500
1348,1701,1500
1353,1706,1500
1359,1711,1500
1364,1716,1500
1369,1721,1500
1374,1726,1500
1379,1732,1500
1384,1737,1500
1390,1742,1500
1395,1747,1500
1400,1752,1500
1405,1757,1500
1410,1763,1500
1415,1768,1500
1421,1773,1500
1426,1778,1500
1431,1783,1500
1436,1788,1500
